has_content_business;;;;has_content_film;;;;has_content_food;;;;has_content_games;;;;has_content_health;;;;has_content_music;;;;has_content_news;;;;has_content_shop;;;;has_content_sport;;;;has_content_technology;;;;has_content_transport;;;;has_content_xxx;;;;id;;;;page_rank;;;;
sum;mean;mode;stddev;sum;mean;mode;stddev;sum;mean;mode;stddev;sum;mean;mode;stddev;sum;mean;mode;stddev;sum;mean;mode;stddev;sum;mean;mode;stddev;sum;mean;mode;stddev;sum;mean;mode;stddev;sum;mean;mode;stddev;sum;mean;mode;stddev;sum;mean;mode;stddev;sum;mean;mode;stddev;sum;mean;mode;stddev;
176;0.333965844402;0.0;0.471627670069;79;0.14990512334;0.0;0.356978398977;81;0.153700189753;0.0;0.360661117149;27;0.0512333965844;0.0;0.220473435268;165;0.313092979127;0.0;0.463751836167;87;0.165085388994;0.0;0.371257597006;527;1.0;1.0;0.0;527;1.0;1.0;0.0;108;0.204933586338;0.0;0.40365308314;98;0.185958254269;0.0;0.389072977651;527;1.0;1.0;0.0;18;0.034155597723;0.0;0.181628722583;643754.0;1221.54459203;6.0;719.667057089;267.097180043;0.506825768583;0.5;0.201342592638;
87;0.861386138614;1.0;0.345543135973;79;0.782178217822;1.0;0.412765615558;11;0.108910891089;0.0;0.311527380645;11;0.108910891089;0.0;0.311527380645;22;0.217821782178;0.0;0.412765615558;13;0.128712871287;0.0;0.334881871788;101;1.0;1.0;0.0;19;0.188118811881;0.0;0.39080701695;11;0.108910891089;0.0;0.311527380645;15;0.148514851485;0.0;0.355609603883;53;0.524752475248;1.0;0.499386939125;6;0.0594059405941;0.0;0.236382898739;118583.0;1174.08910891;22.0;684.203245512;41.375;0.409653465347;0.375;0.283694035285;
18;0.125874125874;0.0;0.331707446871;143;1.0;1.0;0.0;17;0.118881118881;0.0;0.323648572459;7;0.048951048951;0.0;0.215765714973;40;0.27972027972;0.0;0.448861721283;13;0.0909090909091;0.0;0.287479787288;143;1.0;1.0;0.0;118;0.825174825175;1.0;0.379817499692;11;0.0769230769231;0.0;0.266469355011;27;0.188811188811;0.0;0.391358561668;84;0.587412587413;1.0;0.492299745645;7;0.048951048951;0.0;0.215765714973;184672.0;1291.41258741;25.0;678.223557102;62.0728850325;0.434076119109;0.5;0.144794150738;
31;0.0828877005348;0.0;0.275712403847;0;0.0;0.0;0.0;9;0.024064171123;0.0;0.153248447924;18;0.048128342246;0.0;0.214037391403;31;0.0828877005348;0.0;0.275712403847;14;0.0374331550802;0.0;0.189820741704;374;1.0;1.0;0.0;0;0.0;0.0;0.0;15;0.0401069518717;0.0;0.196210051433;14;0.0374331550802;0.0;0.189820741704;0;0.0;0.0;0.0;6;0.0160427807487;0.0;0.125640001331;452761.0;1210.59090909;1.0;685.082906902;158.992950108;0.425114839862;0.5;0.244588449311;
44;0.234042553191;0.0;0.423398909407;0;0.0;0.0;0.0;17;0.0904255319149;0.0;0.28679043759;4;0.0212765957447;0.0;0.144304893258;45;0.239361702128;0.0;0.426693892249;16;0.0851063829787;0.0;0.279039937204;188;1.0;1.0;0.0;188;1.0;1.0;0.0;11;0.0585106382979;0.0;0.234706505031;16;0.0851063829787;0.0;0.279039937204;0;0.0;0.0;0.0;1;0.00531914893617;0.0;0.072738267719;223482.0;1188.73404255;3.0;674.129875351;82.4478850325;0.43855257996;0.5;0.208930201035;
88;0.287581699346;0.0;0.452635024658;55;0.179738562092;0.0;0.383969544871;20;0.0653594771242;0.0;0.247159090212;21;0.0686274509804;0.0;0.252819548201;62;0.202614379085;0.0;0.401947499648;35;0.114379084967;0.0;0.318271126383;306;1.0;1.0;0.0;0;0.0;0.0;0.0;34;0.111111111111;0.0;0.314269680527;47;0.153594771242;0.0;0.36055986672;306;1.0;1.0;0.0;12;0.0392156862745;0.0;0.194107743855;355724.0;1162.49673203;12.0;703.710284863;147.164316703;0.480929139552;0.375;0.206313556861;
163;0.527508090615;1.0;0.499242731495;273;0.883495145631;1.0;0.320829352269;118;0.381877022654;0.0;0.485846644758;155;0.501618122977;1.0;0.499997381671;259;0.838187702265;1.0;0.368278533228;221;0.715210355987;1.0;0.451314195075;309;1.0;1.0;0.0;281;0.909385113269;1.0;0.287060671347;236;0.763754045307;1.0;0.424775003483;142;0.459546925566;0.0;0.498360861995;303;0.980582524272;1.0;0.137987091297;32;0.10355987055;0.0;0.304688732581;383262.0;1240.33009709;11.0;709.697862533;172.307863341;0.557630625698;0.625;0.187258801573;
0;0.0;0.0;0.0;0;0.0;0.0;0.0;0;0.0;0.0;0.0;0;0.0;0.0;0.0;0;0.0;0.0;0.0;0;0.0;0.0;0.0;0;0.0;0.0;0.0;0;0.0;0.0;0.0;0;0.0;0.0;0.0;0;0.0;0.0;0.0;0;0.0;0.0;0.0;0;0.0;0.0;0.0;579287.0;1214.43815514;2.0;697.463099007;199.638720174;0.418529811685;0.375;0.177408860984;
